,contexte_gauche,mention,contexte_droit,procédé_de_nommage,cible_mention,polarité_mention,positionnement_mention,cible_contexte,polarité_contexte,temporalité,positionnement_contexte,,FALSE
1009,,la défense,,norme,NA,NA,NA,NA,NA,NA,NA,,
1011,"Le groupe Hermitage vient de remporter une précieuse victoire dans le combat qu'il mène pour la construction des deux gigantesques toursHermitage Plaza,",dans le quartier d'affaires de la défense (92,).,type lieu,économie,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
1013,"Tout ce que je peux dire, c'est que les démolitions commenceront avant la fin de l'année.»                 Il faudra ensuite attendre entre quatre et cinq ans avant de voir les tours jumelles, dont les plans ont été confiés à l'architecte Norman Foster, tutoyer le ciel ",de La Défense,.,norme,NA,NA,NA,urbanisme,positif,futur,pris en charge,,
1014,"Après des escapades new-yorkaises (2015) et brésiliennes (2016),",le quartier d'affaires de la défense,devient « so british » cet été.,type lieu,économie,neutre,pris en charge,quotidien,positif,futur,pris en charge,,
1016,,la défense,| 92		,norme,NA,NA,NA,NA,NA,NA,NA,,
1018,"Vous ne verrez plus le boulevard circulaire de la même manière.Plongé dans le noir depuis plus de quatre ans, l'axe en poire qui ceinture",le quartier d'affaires de la défense,a retrouvé la lumière.,type lieu,économie,neutre,pris en charge,quotidien,positif,présent,pris en charge,,
1020,,la défense, Par David Livois		Nouveau rebondissement dans l'interminable feuilleton des tours Hermitagede,norme,NA,NA,NA,NA,NA,NA,NA,,
1022,la défense Par David Livois                Nouveau rebondissement dans l'interminable feuilleton des tours Hermitage,de La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1023,"La cour administrative d'appel de Versailles (Yvelines) vient en effet de mettre un nouveau coup de frein à ce projet pharaonique estimé à 3 Mds €.Un projet évoqué la première fois... en 2006, et qui prévoit la construction de deux énormes buildings de 323 m de haut en plein coeur",du quartier d'affaires,.		,type lieu,économie,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
1025,"A Courbevoie, l'opposant (DVG) Karim Larnaout profite de cette décision de justice pour reformuler ses inquiétudes relatives à ce projet.« Je demande à la nouvelle autorité",du quartier d'affaires de la défense,"d'engager une réflexion d'urgence vers la sortie de ce dossier, souffle l'élu, pour qui il serait préférable d'engager la rénovation de ce quartier, en conservant l'existant.",type lieu,économie,neutre,pris en charge,administration,négatif,présent,cité,,
1026,"A Courbevoie, l'opposant (DVG) Karim Larnaout profite de cette décision de justice pour reformuler ses inquiétudes relatives à ce projet.« Je demande à la nouvelle autorité du quartier d'affaires de la défense d'engager une réflexion d'urgence vers la sortie de ce dossier, souffle l'élu, pour qui il serait préférable d'engager la rénovation",de ce quartier,", en conservant l'existant.",,NA,,pris en charge,administration,négatif,présent,cité,,
1028,"Initialement programmées d'ici la fin d'année, les premières démolitions pourraient finalement intervenir début 2018.Sauf nouveau coup de théâtre, il faudra ensuite attendre cinq à six ans avant de voir les tours jumelles de l'Hermitage Plaza embrasser le ciel de",La Défense,.,norme,NA,NA,NA,urbanisme,positif,futur,pris en charge,,
1029,,La Défense,Il avait baissé son rideau de fer après seulement huit mois d'activités.,norme,NA,NA,NA,NA,NA,NA,NA,,
1030,"La Défense Il avait baissé son rideau de fer après seulement huit mois d'activités.Une fermeture que beaucoup,",dans le quartier d'affaires de la défense,", imaginaient définitive.",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1035,,"La Défense,",où les cols blancs votent plutôt Macron,norme,NA,NA,NA,administration,neutre,présent,pris en charge,,
1036,"     Par Florence Hubin et David Livois                Avec son approche « pragmatique » teintée de libéralisme économique et son passé de banquier d'affaires, Emmanuel Macron semble avoir tous les atouts pour séduire les cols blancs ",de la défense,", premier quartier d'affaires européen.",norme,NA,NA,NA,administration,neutre,présent,pris en charge,,
1037,"     Par Florence Hubin et David Livois                Avec son approche « pragmatique » teintée de libéralisme économique et son passé de banquier d'affaires, Emmanuel Macron semble avoir tous les atouts pour séduire les cols blancs de la défense, ",premier quartier d'affaires européen,.,classement/type lieu/référence géographique,économie/localisation,positif,pris en charge,administration,neutre,présent,pris en charge,,
1039,"« Il a de bonnes idées mais il ne réussira jamais à dégager une majorité à l'assemblée s'il est élu », regrette le jeune homme.Cette majorité, seul Fillon peut la rassembler aux yeux d'une partie des cadres",du quartier,.,type lieu,urbanisme,neutre,pris en charge,NA,NA,NA,NA,,
1040,"Je ne pensais pas dire ça un jour, mais le seul pour lequel j'ai un peu de bienveillance aujourd'hui, c'est Benoît Hamon », lâche-t-il sous les yeux interloqués de ses collègues.                C'est tout de même le nom de Macron qui revient le plus souvent ",au pied des tours,.,métaphore,architecture,neutre,pris en charge,administration,neutre,présent,pris en charge,,
1042,"Voilà ce qui devrait voir le jour, à l'horizon 2021, sur l'ancien site des papeteries, un immense terrain de 18 hectares bordé par                un pont ferroviaire, les autoroutes A 14 et A 86 et le parc du Chemin-de-l'Ile.Hostile à la construction                de logement à cet endroit, le maire (gauche citoyenne) de Nanterre, Patrick Jarry, a aussi milité pour                 la création d'un parc d'activités artisanales (PME, PMI) de 20 000 m² et d'une base logistique à vocation fluviale afin de limiter « le trafic routier autour de ",La Défense,».,norme,NA,NA,NA,urbanisme,neutre,futur,cité,,
1044,"Pour mémoire, Woodeum, qui porte le projet de campus de bureaux en bois, figurait parmi les promoteurs qui espéraient attirer le nouveau siège du groupe Total.Mais le groupe pétrolier français a accordé sa préférence à The Link, pharaonique projet de double tour développé par Groupama",dans le quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,urbanisme,positif,futur,pris en charge,,
1045,Gestion,de La Défense,": le maire de Nanterre dénonce « l'annexion de sa commune »  Les élus se sont écharpés pendant une heure, hier soir, lors du conseil municipal au sujet du projet de loi prévoyant la création du nouvel établissement public de La Défense.",norme,NA,NA,NA,administration,neutre,présent,pris en charge,,
1046,"La ville ne veut pas qu'on puisse lui imposer un aménagement qu'elle n'aurait pas choisi et qui serait contre son souhait », a martelé, hier soir, le maire de Nanterre, Patrick Jarry (DVG).Les rapports entre la ville",et le quartier d'affaires de la défense," ont cristallisé pendant une heure les débats et les divergences entre les élus de gauche d'une part, Républicains et LREM de l'autre.		",type lieu,économie,neutre,pris en charge,administration,négatif,présent,pris en charge,,
1047,"Les rapports entre la ville et le quartier d'affaires de la défense ont cristallisé pendant une heure les débats et les divergences entre les élus de gauche d'une part, Républicains et LREM de l'autre.                Le maire a en effet proposé en séance du conseil municipal un voeu sur le projet de loi concernant la création du nouvel établissement public ",de La Défense,", par fusion de l'Epadesa (actuel aménageur) et Defacto (gestionnaire) et qui définira aussi son périmètre d'intervention.",norme,NA,NA,NA,administration,neutre,présent,pris en charge,,
1048,Le texte prévoit de transférer au département (NDLR : qui sera majoritaire au conseil d'administration)l'aménagement,du quartier d'affaires,", résume le maire, ce qui reviendrait à placer un tiers de notre commune, 400 ha, sous la tutelle du département.",type lieu,économie,neutre,pris en charge,administration,négatif,présent,cité,,
1052,"sa] commune par une autre collectivité ».Le maire est préoccupé par l'avenir réservé au quartier des Groues(76 ha), situé entre la U Arena et le Faubourg de l'Arche (Courbevoie), futur onzième quartier de Nanterre et enjeu majeur de développement pour la villemais aussi pour",le quartier d'affaires,", qui sera desservi par la future gare Nanterre",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1055,"Plus de 850 M€ de dépenses de fonctionnement devraient être consacrés aux personnes âgées, handicapées et aux familles en difficulté.L'enveloppe dédiée à l'investissement devrait atteindre les 400 M€. Destinés en grande partie aux travaux de rénovation",du quartier d'affaires de la défense,.,type lieu,économie,neutre,pris en charge,urbanisme,neutre,futur,pris en charge,,
1056,,LA DÉFENSE,Les Quatre-Temps passent à l'heure,norme,NA,NA,NA,NA,NA,NA,NA,,
1057,,LA DÉFENSE,Les Quatre-Temps passent à l'heure disco.,norme,NA,NA,NA,NA,NA,NA,NA,,
1060,"À l'occasion de la tournée du spectacle musical «Saturday Night Fever », le centre commercial",du quartier d'affaires de la défense,"promet, du 1 er au 12 avril, de faire revivre à ses fidèles la fièvre du samedi soir.",type lieu,économie,neutre,pris en charge,événement,positif,présent,pris en charge,,
1062,"68 nouvelles gares formant une rocade de 200 km de nouvelles lignes autour de Paris, pour un coût évalué à près de 28 Mds€. Voilà qui va bouleverser le quotidien des quelque 8,5 millions de voyageurs empruntant chaque jour le réseau de transports d'Ile-de-France.                A titre d'exemple, il faudra seulement 37 minutes pour aller de Champigny-sur-Marne ",à La Défense,", contre une heure aujourd'hui, ou encore 30 minutes de Villejuif à Saint-Denis, soit moitié moins de temps qu'actuellement.",norme,NA,NA,NA,quotidien,positif,futur,pris en charge,,
1063,"Dans dix ans, il sera trop tard Pour vous aider à décider où investir, nous avons interrogé les experts de Meilleursagents.com et du réseau Guy Hoquet pour dresser une liste de 12 quartiers de villes qui devraient connaître une forte hausse des prix de l'immobilier dans la perspective de l'arrivée des 68 gares du supermétro.Connexion au réseau existant, lien direct vers Paris ou",le quartier d'affaires de la défense,", projets des maires",type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1064,"Quels en seraient les effets ?  Les Yvelines vont bénéficier du dynamisme des Hauts-de-Seine, qui a des ressources plus importantes",grâce au quartier d'affaires de la défense,et où la fiscalité est plus basse que dans les Yvelines.,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,,
1065,"L'investissement sera la priorité.Avec le prolongement du RER E jusqu'à Nanterre puis Mantes-la-Jolie, à l'horizon 2024, la vallée de la Seine sera le bassin d'expansion naturel, le back-office,",de La Défense,.,norme,économie,NA,NA,NA,NA,NA,NA,,
1066,"Avec le prolongement du RER E jusqu'à Nanterre puis Mantes-la-Jolie, à l'horizon 2024, la vallée de la Seine sera le bassin d'expansion naturel, le back-office,de La Défense.Il y a d'importantes réserves foncières sur l'ensemble du parcours d'Eole qui permettront la réalisation de nouveaux ensembles immobiliers et l'implantation d'entreprises qui travaillent avec celles",du quartier d'affaires,.		,type lieu,économie,neutre,pris en charge,NA,NA,NA,NA,90,
1067,"Comme la SNCF, la RATP profite de l'été pour mener de lourds chantiers.Le principal concerne le tronçon central du RER A : la première ligne d'Europe sera fermée entre Nation",et La Défense,", du 27 juillet au 29 août inclus.",norme,NA,NA,NA,NA,NA,NA,NA,,
1068,"En provenance des branches de l'Est (Marne-la-Vallée, Boissy-Saint-Léger), les RER A seront terminus à Nation.En provenance de l'Ouest (Cergy, Poissy, Saint-Germain-en-Laye), ils s'arrêteront",à La Défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1069,"Pour vous adapter, outre des renforts dans le métro, la RATP a prévu des agents supplémentaires en gare, un espace Web dédié aux travaux, et des téléconseillers joignables au 34 24.                Aux heures de pointe du matin et du soir, des navettes de bus circuleront entre Charles-de-Gaulle Etoile et ",la défense,.,norme,NA,NA,NA,NA,NA,NA,NA,,
1070,"Pour vous adapter, outre des renforts dans le métro, la RATP a prévu des agents supplémentaires en gare, un espace Web dédié aux travaux, et des téléconseillers joignables au 34 24.                Aux heures de pointe du matin et du soir, des navettes de bus circuleront entre Charles-de-Gaulle Etoile et la défense.",Un quartier d'affaires ,"qui risque de souffrir malgré tout, d'autant que les travaux du RER E Eole battront leur plein.                ",type lieu,économie,neutre,pris en charge,quotidien,négatif,présent,pris en charge,,
